Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Is_Hit,Hit_Status
Mario Kart 7,3DS,2011,Racing,Nintendo,5.03,4.02,2.69,0.91,12.66,85,73.0,8.2,632.0,"Retro Studios, Entertainment Analysis & Development Division",E,1,Hit
Call of Duty: Black Ops,PS3,2010,Shooter,Activision,5.99,4.37,0.48,1.79,12.63,88,58.0,6.4,1094.0,Treyarch,M,1,Hit
Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,3.96,6.31,0.38,1.97,12.61,97,66.0,8.3,2899.0,Rockstar North,M,1,Hit
Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,2.5,3.45,5.33,0.86,12.13,86,57.0,8.7,242.0,Nintendo,E,1,Hit
Halo 3,X360,2007,Shooter,Microsoft Game Studios,7.97,2.81,0.13,1.21,12.12,94,86.0,7.8,4100.0,"Bungie Software, Bungie",M,1,Hit
Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,89,74.0,8.5,272.0,Polyphony Digital,E,1,Hit
Super Mario Galaxy,Wii,2007,Platform,Nintendo,6.06,3.35,1.2,0.74,11.35,97,73.0,8.9,2147.0,Nintendo,E,1,Hit
Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,6.76,3.07,0.14,1.03,11.01,98,86.0,7.9,2951.0,Rockstar North,M,1,Hit
Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,96,16.0,8.7,138.0,Polyphony Digital,E,1,Hit
Super Mario 3D Land,3DS,2011,Platform,Nintendo,4.89,3.0,2.14,0.78,10.81,90,82.0,8.4,921.0,Nintendo,E,1,Hit
Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,2.96,4.82,0.81,2.11,10.7,84,82.0,7.5,1112.0,Polyphony Digital,E,1,Hit
Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,4.99,3.64,0.38,1.6,10.6,94,67.0,6.3,2073.0,Infinity Ward,M,1,Hit
Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,4.76,3.69,0.44,1.61,10.5,98,64.0,7.5,2833.0,Rockstar North,M,1,Hit
Call of Duty: Ghosts,X360,2013,Shooter,Activision,6.73,2.56,0.04,0.91,10.25,73,29.0,2.6,2117.0,Infinity Ward,M,1,Hit
Just Dance 3,Wii,2011,Misc,Ubisoft,5.95,3.11,0.0,1.06,10.12,74,15.0,7.8,16.0,Ubisoft,E10+,1,Hit
New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,3.66,3.14,2.47,0.63,9.9,78,70.0,7.2,424.0,Nintendo,E,1,Hit
Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,7.04,1.95,0.08,0.79,9.86,91,99.0,7.9,2045.0,Bungie,M,1,Hit
Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,92,20.0,9.2,1282.0,SquareSoft,T,1,Hit
Halo 4,X360,2012,Shooter,Microsoft Game Studios,6.65,2.28,0.04,0.74,9.71,87,87.0,7.0,3260.0,343 Industries,M,1,Hit
Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,93,23.0,9.0,135.0,Polyphony Digital,T,1,Hit
Just Dance 2,Wii,2010,Misc,Ubisoft,5.8,2.85,0.01,0.78,9.44,74,24.0,7.3,24.0,Ubisoft,E10+,1,Hit
Call of Duty: Ghosts,PS3,2013,Shooter,Activision,4.1,3.63,0.38,1.25,9.36,71,10.0,2.6,1047.0,Infinity Ward,M,1,Hit
Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,5.93,2.36,0.13,0.9,9.31,94,70.0,8.4,1320.0,Infinity Ward,M,1,Hit
Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,2.03,2.36,4.39,0.39,9.16,88,70.0,8.7,626.0,Nintendo,E,1,Hit
Mario Party DS,DS,2007,Misc,Nintendo,4.4,1.85,1.98,0.68,8.91,72,27.0,7.8,85.0,Hudson Soft,E,1,Hit
The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,5.05,2.79,0.1,0.85,8.79,96,89.0,8.4,3589.0,Bethesda Game Studios,M,1,Hit
FIFA 16,PS4,2015,Sports,Electronic Arts,1.12,6.12,0.06,1.28,8.57,82,42.0,4.3,896.0,EA Sports,E,1,Hit
Halo 2,XB,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,95,91.0,8.2,1218.0,Bungie Software,M,1,Hit
Wii Party,Wii,2010,Misc,Nintendo,1.75,3.47,2.49,0.67,8.38,68,42.0,7.4,54.0,Nd Cube,E,1,Hit
Mario Party 8,Wii,2007,Misc,Nintendo,3.74,2.24,1.58,0.7,8.27,62,41.0,6.3,190.0,Hudson,E,1,Hit
FIFA Soccer 13,PS3,2012,Action,Electronic Arts,1.06,5.01,0.13,1.97,8.16,88,37.0,6.6,348.0,Electronic Arts,E,1,Hit
Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,92,53.0,8.7,1056.0,SquareSoft,T,1,Hit
The Sims 3,PC,2009,Simulation,Electronic Arts,0.99,6.42,0.0,0.6,8.01,86,75.0,7.6,886.0,The Sims Studio,T,1,Hit
Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,90,24.0,8.6,644.0,SquareSoft,T,1,Hit
Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo,2.76,1.72,2.69,0.54,7.72,83,46.0,8.5,203.0,Game Freak,E,1,Hit
Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,2.9,2.81,0.24,1.73,7.69,88,65.0,7.6,451.0,Rockstar Leeds,M,1,Hit
Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,2.81,3.48,0.14,1.23,7.66,83,39.0,5.7,1443.0,Sledgehammer Games,M,1,Hit
FIFA 17,PS4,2016,Sports,Electronic Arts,0.66,5.75,0.08,1.11,7.59,85,41.0,5.0,398.0,"EA Sports, EA Vancouver",E,1,Hit
Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3.56,2.35,0.98,0.62,7.51,97,87.0,9.1,1854.0,Nintendo EAD Tokyo,E,1,Hit
Call of Duty: World at War,X360,2008,Shooter,Activision,4.81,1.88,0.0,0.69,7.38,84,84.0,7.6,580.0,Treyarch,M,1,Hit
Battlefield 3,X360,2011,Shooter,Electronic Arts,4.46,2.11,0.06,0.69,7.32,84,57.0,7.4,2142.0,EA DICE,M,1,Hit
Need for Speed Underground,PS2,2003,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,85,33.0,8.6,171.0,EA Black Box,E,1,Hit
Just Dance,Wii,2009,Misc,Ubisoft,3.48,2.99,0.0,0.73,7.2,49,21.0,8.0,110.0,Ubisoft Paris,E10+,1,Hit
Battlefield 3,PS3,2011,Shooter,Electronic Arts,2.85,2.89,0.35,1.08,7.17,85,38.0,7.5,1761.0,EA DICE,M,1,Hit
Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,2.53,3.27,0.24,1.13,7.16,87,58.0,6.5,4228.0,Bethesda Game Studios,M,1,Hit
Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,96,15.0,9.1,367.0,Namco,T,1,Hit
The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,3.74,2.14,0.6,0.68,7.15,95,73.0,9.0,1658.0,Nintendo,T,1,Hit
Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,91,12.0,8.9,432.0,Naughty Dog,E,1,Hit
Mario Kart 8,WiiU,2014,Racing,Nintendo,3.15,2.15,1.28,0.51,7.09,88,82.0,9.1,1599.0,Nintendo,E,1,Hit
Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,92,38.0,9.1,568.0,HAL Labs,T,1,Hit
Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,82,39.0,8.6,132.0,EA Canada,E,1,Hit
Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83,88,29.0,8.5,135.0,EA LA,T,1,Hit
Just Dance 4,Wii,2012,Misc,Ubisoft,4.05,2.16,0.0,0.55,6.76,74,10.0,7.3,28.0,Ubisoft,E10+,1,Hit
Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,4.15,1.9,0.06,0.64,6.75,93,90.0,7.7,2739.0,Epic Games,M,1,Hit
Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,2.77,2.75,0.19,1.03,6.74,92,97.0,8.3,3712.0,Naughty Dog,T,1,Hit
Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,3.11,2.26,0.28,1.03,6.68,94,44.0,8.4,993.0,Infinity Ward,M,1,Hit
Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,3.27,2.2,0.21,0.98,6.66,96,105.0,8.8,5187.0,Naughty Dog,T,1,Hit
Big Brain Academy,DS,2005,Misc,Nintendo,1.66,2.75,1.6,0.62,6.62,74,45.0,7.4,27.0,Nintendo,E,1,Hit
Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,2.79,2.53,0.17,0.99,6.49,95,73.0,8.8,2456.0,Rockstar San Diego,M,1,Hit
FIFA 14,PS3,2013,Sports,Electronic Arts,0.78,4.24,0.07,1.37,6.47,86,37.0,4.3,576.0,EA Canada,E,1,Hit
Assassin's Creed III,PS3,2012,Action,Ubisoft,2.64,2.52,0.16,1.12,6.45,85,41.0,6.9,1307.0,Ubisoft,M,1,Hit
Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,3.17,1.79,1.03,0.46,6.44,87,77.0,8.6,368.0,Retro Studios,E,1,Hit
Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,97,68.0,8.6,1283.0,Bungie Software,M,1,Hit
The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,2.55,2.6,0.25,1.0,6.41,92,16.0,6.4,2527.0,Bethesda Game Studios,M,1,Hit
Pokémon Emerald Version,GBA,2004,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41,76,28.0,9.0,222.0,Game Freak,E,1,Hit
Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,85,46.0,8.8,597.0,SquareSoft,E,1,Hit
Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,4.34,1.34,0.06,0.61,6.34,83,94.0,7.1,1163.0,"Bungie Software, Bungie",M,1,Hit
Red Dead Redemption,X360,2010,Action,Take-Two Interactive,3.7,1.95,0.09,0.58,6.32,95,96.0,9.0,2316.0,Rockstar San Diego,M,1,Hit
Super Mario Sunshine,GC,2002,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,92,61.0,8.6,439.0,Nintendo,E,1,Hit
World of Warcraft,PC,2004,Role-Playing,Activision,0.08,6.21,0.0,0.0,6.29,93,57.0,7.3,2182.0,Blizzard Entertainment,T,1,Hit
Driver,PS,1999,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27,87,22.0,8.1,78.0,Reflections Interactive,T,1,Hit
Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,4.05,1.59,0.07,0.5,6.21,91,96.0,7.8,1504.0,Epic Games,M,1,Hit
Kinect Sports,X360,2010,Sports,Microsoft Game Studios,3.92,1.73,0.03,0.51,6.19,73,51.0,7.4,95.0,Rare Ltd.,E10+,1,Hit
Gears of War,X360,2006,Shooter,Microsoft Game Studios,3.54,1.88,0.07,0.6,6.09,94,88.0,8.3,2295.0,Epic Games,M,1,Hit
FIFA 15,PS4,2014,Sports,Electronic Arts,0.8,4.33,0.05,0.9,6.08,82,47.0,5.7,988.0,EA Sports,E,1,Hit
Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,96,42.0,8.7,1026.0,KCEJ,M,1,Hit
Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,94,20.0,9.4,918.0,KCEJ,M,1,Hit
Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,2.63,1.71,0.83,0.82,5.99,94,82.0,8.7,3558.0,Kojima Productions,M,1,Hit
Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,1.88,0.0,2.33,1.74,5.95,92,64.0,7.6,972.0,Square Enix,T,1,Hit
The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,2.41,2.18,0.28,0.99,5.87,95,98.0,9.1,8003.0,Naughty Dog,M,1,Hit
LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,2.8,1.98,0.17,0.87,5.82,95,85.0,6.8,5311.0,"SCE/WWS, Media Molecule",E,1,Hit
Resident Evil 2,PS,1998,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,89,13.0,9.2,364.0,Capcom,M,1,Hit
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,0.63,0.67,4.35,0.15,5.78,87,65.0,8.8,197.0,Level 5,E10+,1,Hit
Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,89,8.0,8.9,102.0,Namco,T,1,Hit
Destiny,PS4,2014,Shooter,Activision,2.49,2.07,0.16,0.92,5.64,76,95.0,6.1,5380.0,"Bungie Software, Bungie",T,1,Hit
LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,3.57,1.55,0.0,0.51,5.64,80,17.0,8.9,62.0,Traveller's Tales,E10+,1,Hit
Cooking Mama,DS,2006,Simulation,505 Games,3.07,1.91,0.07,0.57,5.63,67,35.0,7.2,21.0,Taito Corporation,E,1,Hit
Assassin's Creed II,PS3,2009,Action,Ubisoft,2.54,1.93,0.21,0.86,5.55,91,70.0,8.6,1202.0,Ubisoft Montreal,M,1,Hit
Assassin's Creed,X360,2007,Adventure,Ubisoft,3.28,1.64,0.07,0.56,5.54,81,77.0,7.7,1074.0,Ubisoft Montreal,M,1,Hit
Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,2.99,1.9,0.1,0.5,5.49,92,90.0,8.0,516.0,Turn 10,E,1,Hit
Super Mario Advance,GBA,2001,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49,84,19.0,7.8,41.0,Nintendo,E,1,Hit
Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,0.47,0.55,4.13,0.34,5.48,81,48.0,8.7,124.0,Capcom,T,1,Hit
Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,2.71,1.85,0.11,0.81,5.48,96,42.0,8.6,2162.0,Rocksteady Studios,T,1,Hit
Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive,2.81,2.19,0.0,0.47,5.48,97,14.0,7.9,764.0,Rockstar North,M,1,Hit
Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47,93,24.0,8.3,108.0,Intelligent Systems,E,1,Hit
Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42,66,22.0,7.1,156.0,Traveller's Tales,E,1,Hit
Call of Duty: World at War,PS3,2008,Shooter,Activision,2.73,1.83,0.0,0.83,5.39,85,45.0,7.6,409.0,Treyarch,M,1,Hit
Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,1.85,2.5,0.19,0.85,5.38,93,113.0,7.9,7064.0,Naughty Dog,T,1,Hit
Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix,1.74,1.21,1.87,0.51,5.33,83,83.0,7.3,2483.0,Square Enix,T,1,Hit
Final Fantasy IX,PS,2000,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3,94,22.0,8.9,779.0,SquareSoft,T,1,Hit
Assassin's Creed III,X360,2012,Action,Ubisoft,3.13,1.69,0.03,0.44,5.29,84,61.0,6.7,1196.0,Ubisoft,M,1,Hit
Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29,85,45.0,6.6,400.0,SquareSoft,T,1,Hit
Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,3.22,1.55,0.01,0.48,5.27,81,53.0,5.4,898.0,Sledgehammer Games,M,1,Hit
Assassin's Creed II,X360,2009,Action,Ubisoft,3.11,1.55,0.08,0.51,5.26,90,82.0,8.8,1305.0,Ubisoft Montreal,M,1,Hit
New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,2.3,1.34,1.27,0.32,5.22,84,70.0,8.1,733.0,Nintendo,E,1,Hit
Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,5.21,89,63.0,8.8,245.0,Level 5,T,1,Hit
Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo,1.21,2.43,1.03,0.52,5.19,85,72.0,8.6,147.0,Level 5,E,1,Hit
FIFA Soccer 13,X360,2012,Action,Electronic Arts,1.09,3.47,0.03,0.57,5.16,90,48.0,6.1,403.0,Electronic Arts,E,1,Hit
Diablo III,PC,2012,Role-Playing,Activision,2.44,2.16,0.0,0.54,5.14,88,86.0,4.0,9629.0,Blizzard Entertainment,M,1,Hit
Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.13,68,30.0,7.6,100.0,EA LA,T,1,Hit
Guitar Hero II,PS2,2006,Misc,RedOctane,3.81,0.63,0.0,0.68,5.12,92,69.0,8.5,112.0,Harmonix Music Systems,T,1,Hit
Fable III,X360,2010,Role-Playing,Microsoft Game Studios,3.59,1.08,0.05,0.38,5.1,80,88.0,6.5,604.0,Lionhead Studios,M,1,Hit
Resident Evil 5,PS3,2009,Action,Capcom,1.96,1.41,1.08,0.64,5.09,84,76.0,7.5,667.0,Capcom,M,1,Hit
The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo,1.85,1.8,0.95,0.48,5.08,90,57.0,8.0,416.0,Nintendo,E,1,Hit
FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,0.61,3.28,0.06,1.12,5.07,89,51.0,8.0,233.0,EA Sports,E,1,Hit
Resident Evil,PS,1996,Action,Virgin Interactive,2.05,1.16,1.11,0.73,5.05,91,8.0,9.0,266.0,Capcom,M,1,Hit
Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive,1.7,1.99,0.16,1.18,5.03,86,50.0,8.0,150.0,Rockstar Leeds,M,1,Hit
Tony Hawk's Pro Skater,PS,1999,Sports,Activision,3.42,1.38,0.02,0.2,5.02,92,18.0,9.2,69.0,Neversoft Entertainment,T,1,Hit
Guitar Hero III: Legends of Rock,PS2,2007,Misc,Activision,3.49,0.01,0.01,1.48,4.98,82,24.0,8.2,46.0,"Neversoft Entertainment, BudCat",T,1,Hit
Link's Crossbow Training,Wii,2007,Shooter,Nintendo,3.05,1.17,0.29,0.46,4.98,68,34.0,7.1,47.0,Nintendo,T,1,Hit
Fallout 3,X360,2008,Role-Playing,Bethesda Softworks,3.4,0.99,0.09,0.45,4.93,93,84.0,8.5,1655.0,Bethesda Game Studios,M,1,Hit
Uncharted: Drake's Fortune,PS3,2007,Action,Sony Computer Entertainment,2.31,1.72,0.12,0.77,4.92,88,66.0,8.1,2306.0,"Naughty Dog, SCE/WWS",T,1,Hit
Madden NFL 06,PS2,2005,Sports,Electronic Arts,3.98,0.26,0.01,0.66,4.91,88,29.0,8.0,121.0,EA Sports,E,1,Hit
StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision,2.57,1.68,0.0,0.58,4.84,93,82.0,8.2,3052.0,Blizzard Entertainment,T,1,Hit
Assassin's Creed,PS3,2007,Adventure,Ubisoft,1.91,2.0,0.09,0.82,4.82,81,40.0,7.3,769.0,Ubisoft Montreal,M,1,Hit
God of War III,PS3,2010,Action,Sony Computer Entertainment,2.74,1.33,0.12,0.61,4.8,92,101.0,8.7,2633.0,SCE Santa Monica,M,1,Hit
Crash Team Racing,PS,1999,Racing,Sony Computer Entertainment,2.57,1.57,0.44,0.21,4.79,88,20.0,9.0,233.0,Naughty Dog,E,1,Hit
LEGO Star Wars: The Complete Saga,DS,2007,Action,LucasArts,2.83,1.48,0.0,0.45,4.76,80,9.0,5.4,46.0,TT Fusion,E,1,Hit
Driver 2,PS,2000,Action,Atari,2.36,2.1,0.02,0.25,4.73,62,14.0,7.7,92.0,Reflections Interactive,T,1,Hit
Batman: Arkham City,X360,2011,Action,Warner Bros. Interactive Entertainment,2.99,1.27,0.04,0.42,4.73,94,87.0,8.7,1472.0,Rocksteady Studios,T,1,Hit
Tony Hawk's Pro Skater 2,PS,2000,Sports,Activision,3.05,1.41,0.02,0.2,4.68,98,19.0,7.7,299.0,Neversoft Entertainment,T,1,Hit
The Lord of the Rings: The Two Towers,PS2,2002,Action,Electronic Arts,1.94,1.95,0.08,0.7,4.67,82,32.0,8.2,78.0,Stormfront Studios,T,1,Hit
Tomb Raider,PS,1996,Action,Eidos Interactive,2.29,1.97,0.13,0.24,4.63,91,13.0,8.6,147.0,Core Design Ltd.,T,1,Hit
Animal Crossing: City Folk,Wii,2008,Simulation,Nintendo,1.82,1.12,1.32,0.36,4.62,73,50.0,7.6,119.0,Nintendo,E,1,Hit
Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment,2.07,1.71,0.08,0.76,4.62,86,78.0,8.1,1264.0,Bluepoint Games,T,1,Hit
The Legend of Zelda: The Wind Waker,GC,2002,Action,Nintendo,2.6,0.99,0.89,0.13,4.6,96,80.0,8.9,968.0,Nintendo,E,1,Hit
Guitar Hero III: Legends of Rock,Wii,2007,Misc,Activision,3.04,1.11,0.0,0.43,4.6,86,36.0,8.4,87.0,Vicarious Visions,T,1,Hit
Luigi's Mansion: Dark Moon,3DS,2013,Action,Nintendo,1.8,1.39,1.11,0.29,4.59,86,74.0,8.4,458.0,Next Level Games,E,1,Hit
Forza Motorsport 4,X360,2011,Racing,Microsoft Game Studios,2.08,1.97,0.06,0.46,4.57,91,83.0,8.2,617.0,Turn 10,E,1,Hit
Madden NFL 2005,PS2,2004,Sports,Electronic Arts,4.18,0.26,0.01,0.08,4.53,91,30.0,7.9,78.0,EA Tiburon,E,1,Hit
Guitar Hero III: Legends of Rock,X360,2007,Misc,Activision,3.19,0.91,0.01,0.42,4.53,85,69.0,7.9,165.0,Neversoft Entertainment,T,1,Hit
Madden NFL 07,PS2,2006,Sports,Electronic Arts,3.63,0.24,0.01,0.61,4.49,84,29.0,8.2,39.0,EA Sports,E,1,Hit
Halo 5: Guardians,XOne,2015,Shooter,Microsoft Game Studios,2.78,1.27,0.03,0.41,4.48,84,101.0,6.4,2438.0,343 Industries,T,1,Hit
Spider-Man: The Movie,PS2,2002,Action,Activision,2.71,1.51,0.03,0.23,4.48,76,25.0,7.9,41.0,Treyarch,E,1,Hit
Call of Duty: Infinite Warfare,PS4,2016,Shooter,Activision,1.61,2.0,0.15,0.71,4.46,77,82.0,3.4,1129.0,Infinity Ward,M,1,Hit
